druh,skupina,reakce_pozitivni,druh_lat_ndop
Lampyris noctiluca,brouci,NA,Lampyris noctiluca
Achlya flavicornis,motyli,NA,Achlya flavicornis
Eilema pygmaeola,motyli,NA,Eilema pygmaeola
Endromis versicolora,motyli,NA,Endromis versicolora
Hyles euphorbiae,motyli,NA,Hyles euphorbiae
Malacosoma neustria,motyli,NA,Malacosoma neustria
Notodonta tritophus,motyli,NA,Notodonta tritophus
Orthonama vittata,motyli,NA,Orthonama vittata
netopýr černý,netopyri,0,Barbastella barbastellus
netopýr velký,netopyri,0,Myotis myotis
netopýr ušatý,netopyri,0,Plecotus auritus
netopýr dlouhouchý,netopyri,0,Plecotus austriacus
vrápenec malý,netopyri,0,Rhinolophus hipposideros
netopýr severní,netopyri,1,Eptesicus nilssonii 
netopýr večerní,netopyri,1,Eptesicus serotinus
netopýr rezavý,netopyri,1,Nyctalus noctula
netopýr hvízdavý,netopyri,1,Pipistrellus pipistrellus
netopýr nejmenší,netopyri,1,Pipistrellus pygmaeus
lelek lesní,ptaci,NA,Caprimulgus europaeus
chřástal polní,ptaci,NA,Crex crex
bekasína otavní,ptaci,NA,Gallinago gallinago
kulíšek nejmenší,ptaci,NA,Glaucidium passerinum
skřivan lesní,ptaci,NA,Lullula arborea
sluka lesní,ptaci,NA,Scolopax rusticola
Lynx lynx,savci,NA,Lynx lynx
