species_old;species;Habitat;Migration;Distribution;Protection
Accipiter gentilis;Accipiter gentilis;F;R;W;E
Accipiter nisus;Accipiter nisus;F;P;W;H
Acrocephalus arundinaceus;Acrocephalus arundinaceus;W;L;S;H
Acrocephalus palustris;Acrocephalus palustris;A;L;N;N
Acrocephalus scirpaceus;Acrocephalus scirpaceus;W;L;W;N
Acrocephalus schoenobaenus;Acrocephalus schoenobaenus;W;L;N;N
Actitis hypoleucos;Actitis hypoleucos;W;L;W;H
Aegithalos caudatus;Aegithalos caudatus;F;R;W;N
Aegolius funereus;Aegolius funereus;F;R;N;H
Alauda arvensis;Alauda arvensis;A;S;W;N
Alcedo atthis;Alcedo atthis;W;P;S;H
Anas acuta;Anas acuta;W;S;N;C
Anas clypeata;Anas clypeata;W;S;N;H
Anas crecca;Anas crecca;W;S;N;E
Anas penelope;Anas penelope;W;S;N;N
Anas platyrhynchos;Anas platyrhynchos;W;P;W;N
Anas querquedula;Anas querquedula;W;L;N;H
Anas strepera;Anas strepera;W;S;C;E
Anser anser;Anser anser;W;S;N;N
Anthus campestris;Anthus campestris;A;L;S;H
Anthus pratensis;Anthus pratensis;A;S;N;N
Anthus spinoletta;Anthus spinoletta;A;S;S;H
Anthus trivialis;Anthus trivialis;F;L;W;N
Apus apus;Apus apus;U;L;W;E
Aquila heliaca;Aquila heliaca;F;P;C;N
Aquila pomarina;Aquila pomarina;F;L;C;C
Ardea alba;Ardea alba;W;;W;N
Ardea cinerea;Ardea cinerea;W;S;W;N
Ardea purpurea;Ardea purpurea;W;L;S;C
Asio flammeus;Asio flammeus;A;S;N;H
Asio otus;Asio otus;A;P;W;N
Athene noctua;Athene noctua;U;R;S;H
Aythya ferina;Aythya ferina;W;S;N;N
Aythya fuligula;Aythya fuligula;W;S;N;N
Aythya nyroca;Aythya nyroca;W;S;C;C
Bonasa bonasia;Bonasa bonasia;F;R;N;H
Botaurus stellaris;Botaurus stellaris;W;S;C;C
Bubo bubo;Bubo bubo;F;R;W;E
Bucephala clangula;Bucephala clangula;W;S;N;H
Burhinus oedicnemus;Burhinus oedicnemus;A;L;S;C
Buteo buteo;Buteo buteo;F;P;W;N
Caprimulgus europaeus;Caprimulgus europaeus;F;L;W;H
Carduelis cannabina;Carduelis cannabina;U;S;W;N
Carduelis carduelis;Carduelis carduelis;U;P;S;N
Carduelis flammea;Carduelis flammea;F;R;N;N
Carduelis chloris;Chloris chloris;U;P;W;N
Carduelis spinus;Spinus spinus;F;S;N;N
Carpodacus erythrinus;Carpodacus erythrinus;A;L;N;E
Certhia brachydactyla;Certhia brachydactyla;F;R;S;N
Certhia familiaris;Certhia familiaris;F;R;N;N
Ciconia ciconia;Ciconia ciconia;U;L;S;E
Ciconia nigra;Ciconia nigra;F;L;S;H
Cinclus cinclus;Cinclus cinclus;W;R;W;N
Circus aeruginosus;Circus aeruginosus;W;L;C;E
Circus cyaneus;Circus cyaneus;F;S;N;H
Circus pygargus;Circus pygargus;A;L;S;H
Coccothraustes coccothraustes;Coccothraustes coccothraustes;F;S;S;N
Columba livia f. domestica;Columba livia f. domestica;U;R;W;N
Columba oenas;Columba oenas;F;S;W;H
Columba palumbus;Columba palumbus;F;S;W;N
Coracias garrulus;Coracias garrulus;A;L;S;C
Corvus corax;Corvus corax;F;R;W;E
Corvus cornix;Corvus cornix;A;R;W;N
Corvus corone;Corvus corone;A;R;S;N
Corvus frugilegus;Corvus frugilegus;U;P;C;N
Corvus monedula;Coloeus monedula;U;P;W;H
Coturnix coturnix;Coturnix coturnix;A;L;S;H
Crex crex;Crex crex;A;L;N;H
Cuculus canorus;Cuculus canorus;A;L;W;N
Cygnus olor;Cygnus olor;W;P;C;N
Delichon urbica;Delichon urbicum;U;L;W;N
Dendrocopos leucotos;Dendrocopos leucotos;F;R;W;H
Dendrocopos major;Dendrocopos major;F;R;W;N
Dendrocopos medius;Dendrocopos medius;F;R;C;E
Dendrocopos minor;Dendrocopos minor;F;R;N;N
Dendrocopos syriacus;Dendrocopos syriacus;F;R;S;H
Dryocopus martius;Dryocopus martius;F;R;N;N
Egretta alba;Egretta alba;W;S;S;H
Egretta garzetta;Egretta garzetta;W;L;S;H
