genus,species,ch.abundance,ch.trend,ch.distr,h.position,h.breadth,h.humidity,d.position,d.breadth,lat.distr,n.type,n.loc,m.distance,m.flex,pc1,pc2,protection
Accipiter,gentilis,0,1,-0.15,2.3,3,1,4,1,53.18,1,3,1,0,1.62,0.47,1
Accipiter,nisus,0,0,0.02,2.7,3,1,4,1,51.37,1,3,2,1,0.62,-0.75,2
Acrocephalus,arundinaceus,0,2,-0.01,7.0,0,3,3,1,47.81,1,2,3,0,-0.57,-0.74,2
Acrocephalus,palustris,0,1,0.14,5.5,1,2,3,1,51.57,1,2,3,0,-0.63,-0.89,0
Acrocephalus,schoenobaenus,0,0,0.18,6.5,1,3,3,2,54.69,1,2,3,0,-0.65,-0.53,0
Acrocephalus,scirpaceus,0,0,0.02,7.0,0,3,3,2,48.85,1,2,3,0,-0.80,-0.72,0
Actitis,hypoleucos,-1,-1,-0.10,6.5,1,3,3,1,53.91,1,1,3,0,0.10,-0.15,2
Aegithalos,caudatus,0,0,0.06,3.0,2,1,3,1,49.72,2,2,1,0,-0.41,-1.11,0
Aegolius,funereus,2,1,0.42,3.5,5,1,4,1,58.20,3,3,1,0,0.55,-0.15,2
Alauda,arvensis,0,1,0.02,7.0,0,1,1,2,57.80,1,1,2,0,-0.68,1.71,0
Anas,clypeata,-2,0,-0.17,7.0,0,3,2,2,53.96,1,1,2,1,0.47,-1.80,2
Anas,crecca,-2,0,-0.24,7.0,0,3,2,2,56.08,1,1,2,1,0.18,-1.66,1
Anas,platyrhynchos,-1,0,0.04,7.0,0,3,2,2,52.04,1,1,2,1,0.82,-1.22,0
Anas,querquedula,-1,1,-0.01,7.0,0,3,2,2,52.24,1,1,3,0,0.19,-1.66,2
Anas,strepera,1,0,0.37,7.0,0,3,1,1,51.03,1,1,2,1,0.53,-2.11,1
Anser,anser,0,-2,0.69,5.0,5,3,1,1,53.68,1,2,2,1,2.92,0.41,0
Anthus,campestris,-1,1,-0.33,7.0,0,1,3,1,45.45,1,1,3,0,-0.69,-0.11,2
Anthus,pratensis,0,-2,-0.06,7.0,0,2,3,2,56.11,1,1,2,1,-0.71,1.03,0
Anthus,spinoletta,-2,-2,-0.10,7.0,0,1,3,2,44.94,1,1,2,1,-0.73,0.86,2
Anthus,trivialis,0,-1,0.00,4.5,3,1,3,1,53.44,1,1,3,0,-0.86,0.54,0
Apus,apus,0,0,0.02,6.0,0,1,3,1,50.71,3,3,3,0,-0.19,-0.32,1
Ardea,cinerea,2,0,0.66,4.5,3,3,4,1,50.68,1,3,2,1,1.65,0.78,0
Ardea,purpurea,-2,-1,-0.29,7.0,0,3,4,1,46.08,1,2,3,0,0.80,-0.65,3
Asio,otus,0,0,-0.08,2.3,3,1,4,1,51.25,1,3,2,1,0.68,0.59,0
Athene,noctua,-2,-1,-1.10,5.0,2,1,4,1,46.51,3,3,1,0,0.39,-0.21,2
Aythya,ferina,0,1,-0.10,7.0,0,3,2,2,51.93,1,1,2,1,0.68,-1.74,0
Aythya,fuligula,-1,0,0.02,7.0,0,3,2,2,57.04,1,1,2,1,0.46,-2.12,0
Bonasa,bonasia,0,1,-0.23,1.5,1,1,2,2,56.75,1,1,1,0,0.24,-1.70,2
Botaurus,stellaris,1,2,0.50,7.0,0,3,4,1,50.97,1,1,2,1,0.72,-0.25,3
Bubo,bubo,0,-2,-0.09,2.0,2,1,4,1,51.57,1,2,1,0,2.40,1.34,1
Bucephala,clangula,0,1,0.74,6.0,0,3,3,1,59.69,3,3,2,1,1.04,-1.74,2
Burhinus,oedicnemus,-1,1,-2.00,6.5,1,1,3,1,41.70,1,1,3,0,0.66,0.18,3
Buteo,buteo,0,0,0.02,4.0,4,1,4,1,49.76,1,3,2,1,1.49,0.62,0
Caprimulgus,europaeus,-1,0,-0.63,3.5,1,1,3,1,49.22,1,1,3,0,-0.61,0.95,2
Carduelis,cannabina,0,1,0.05,5.0,2,1,2,2,48.75,1,2,2,1,-0.86,0.85,0
Carduelis,carduelis,0,0,0.02,4.3,3,1,2,2,47.95,1,3,2,1,-0.85,0.61,0
Carduelis,chloris,0,1,0.01,4.3,3,1,2,2,50.46,1,3,2,1,-0.72,0.88,0
Carduelis,flammea/cabaret,0,-1,0.06,3.7,3,1,2,2,60.39,1,2,1,0,-0.85,0.93,0
Carpodacus,erythrinus,2,0,0.31,5.5,1,2,2,1,56.09,1,2,3,0,-0.78,-1.20,1
Certhia,brachydactyla,0,0,0.02,2.0,2,1,2,2,45.35,2,3,1,0,-0.51,1.18,0
Certhia,familiaris,0,1,0.10,2.0,2,1,3,2,54.43,2,3,1,0,-0.64,0.96,0
Charadrius,dubius,0,0,0.03,7.0,0,2,3,1,50.39,1,1,3,0,0.10,-0.47,0
Chlidonias,niger,-2,0,-0.74,7.0,0,3,4,1,50.99,1,1,3,0,-0.07,-0.31,3
Ciconia,ciconia,1,1,0.01,6.0,0,2,4,1,48.58,1,3,3,0,2.55,0.39,1
Ciconia,nigra,1,-1,0.20,3.5,5,2,4,1,50.23,1,3,3,0,2.51,0.31,2
Cinclus,cinclus,0,0,0.00,7.0,0,3,3,1,52.43,2,2,1,0,-0.11,0.22,0
Circus,aeruginosus,1,-1,0.30,7.0,0,3,4,1,61.74,1,1,3,0,1.07,-0.32,1
Circus,cyaneus,-1,-1,-0.18,4.5,5,2,4,1,63.78,1,1,2,1,0.75,-0.48,2
Circus,pygargus,2,2,0.87,7.0,0,2,4,1,61.15,1,1,3,0,0.44,-0.68,2
Coccothraustes,coccothraustes,0,0,0.08,2.5,3,1,1,2,49.42,1,3,2,1,-0.40,-0.33,0
Columba,oenas,1,2,0.38,1.0,0,1,1,1,50.92,3,3,2,0,-0.44,2.31,2
Columba,palumbus,1,1,0.05,2.5,3,1,1,1,51.27,1,3,2,0,-0.22,1.71,0
Coracias,garrulus,-1,1,-2.00,3.0,2,1,3,1,46.62,3,3,3,0,-0.20,-0.66,3
Corvus,corax,2,0,0.76,2.0,2,1,2,3,52.29,1,3,1,0,0.94,0.91,1
Corvus,cornix,0,0,-0.14,6.0,0,1,2,3,51.94,1,3,1,0,0.31,0.19,0
Corvus,corone,0,0,0.01,6.0,0,1,2,3,51.94,1,3,1,0,0.31,0.19,0
Corvus,frugilegus,0,0,-0.25,4.0,4,1,4,3,50.98,1,3,2,1,0.42,0.86,0
Corvus,monedula,0,2,-0.42,5.0,2,1,2,2,50.13,3,3,2,1,0.06,0.10,2
Crex,crex,2,3,0.86,7.0,0,2,3,2,52.41,1,1,3,0,-0.72,-1.02,2
Cuculus,canorus,0,0,0.03,4.0,4,1,3,1,51.01,1,2,3,0,-0.67,-1.87,0
Cygnus,olor,-1,-3,-0.04,7.0,0,3,1,1,50.94,1,1,2,1,6.96,0.66,0
Delichon,urbica,0,0,0.02,6.0,0,1,3,1,50.72,2,3,3,0,-0.83,0.39,0
Dendrocopos,leucotos,0,0,0.20,1.0,0,1,2,2,52.82,3,3,1,0,-0.22,-0.23,2
Dendrocopos,major,0,0,0.03,2.5,3,1,2,2,51.58,3,3,1,0,-0.43,-0.48,0
Dendrocopos,medius,2,2,0.37,1.0,0,1,2,2,49.03,3,3,1,0,-0.40,-0.39,1
Dendrocopos,minor,1,1,0.09,3.0,2,1,3,1,53.81,3,3,1,0,-0.52,-0.52,0
Dendrocopos,syriacus,2,1,0.84,4.0,0,1,2,2,46.36,3,3,1,0,-0.49,-0.47,2
Dryocopus,martius,1,1,0.07,1.0,0,1,3,1,53.75,3,3,1,0,-0.13,0.18,0
Emberiza,citrinella,0,0,0.02,4.7,3,1,3,2,52.83,1,1,1,0,-0.75,1.52,0
Emberiza,hortulana,-1,0,-0.60,5.0,2,1,2,2,50.71,1,1,3,0,-0.69,0.29,3
Emberiza,schoeniclus,0,0,0.07,6.0,0,3,1,2,54.37,1,1,2,1,-0.70,1.06,0
Erithacus,rubecula,0,0,0.03,2.5,3,1,3,2,51.74,1,2,2,1,-0.74,0.61,0
Falco,cherrug,0,0,-0.32,3.0,2,1,4,1,44.59,1,3,2,1,1.19,0.41,3
Falco,peregrinus,2,2,0.97,4.5,5,1,4,1,45.80,1,3,2,1,1.26,0.68,3
Falco,subbuteo,1,2,0.35,3.0,2,1,4,1,50.54,1,3,3,0,0.35,-0.60,2
Falco,tinnunculus,0,0,0.04,5.0,2,1,4,1,50.68,2,3,2,1,0.30,-0.76,0
