"POLE","l8_4_evi_mean","l8_4_mndwi_cv","l8_4_mndwi_mean","l8_4_msavi_cv","l8_4_ndvi_cv","l8_4_ndvi_mean","l8_4_raw_cv_B1","l8_4_raw_cv_B3","l8_4_raw_cv_B5","l8_4_raw_cv_B7","l8_4_raw_mean_B1","l8_4_raw_mean_B5","l8_4_raw_mean_B6","l8_5_evi_cv","l8_5_evi_mean","l8_5_mndwi_cv","l8_5_mndwi_mean","l8_5_ndvi_cv","l8_5_ndvi_mean","l8_5_raw_cv_B1","l8_5_raw_cv_B3","l8_5_raw_cv_B4","l8_5_raw_cv_B5","l8_5_raw_cv_B6","l8_5_raw_cv_B7","l8_5_raw_mean_B1","l8_5_raw_mean_B4","l8_5_raw_mean_B5","l8_5_raw_mean_B6","l8_6_evi_cv","l8_6_mndwi_mean","l8_6_msavi_mean","l8_6_ndvi_cv","l8_6_ndvi_mean","l8_6_raw_cv_B1","l8_6_raw_cv_B3","l8_6_raw_cv_B4","l8_6_raw_cv_B5","l8_6_raw_cv_B6","l8_6_raw_cv_B7","l8_6_raw_mean_B1","l8_6_raw_mean_B3","l8_6_raw_mean_B5","l8_6_raw_mean_B7","wc_cv_bio04","wc_cv_bio06","wc_cv_bio11","wc_cv_bio13","wc_cv_bio14","wc_cv_bio15","wc_mean_bio02","wc_mean_bio04","wc_mean_bio06","wc_mean_bio08","wc_mean_bio13","wc_mean_bio14","wc_mean_bio15","Ardea_alba","Locustella_luscinioides","Luscinia_svecica","Pernis_apivorus","Podiceps_cristatus","Sylvia_nisoria","Corvus_frugilegus","Dendrocopos_syriacus","Falco_subbuteo","Larus_cachinnans","Accipiter_gentilis","Grus_grus","Lanius_excubitor","Acrocephalus_arundinaceus","Alcedo_atthis","Aythya_ferina","Oenanthe_oenanthe","Riparia_riparia","Gallinula_chloropus","Perdix_perdix","Circus_pygargus","Mareca_strepera","Upupa_epops","Charadrius_dubius","Saxicola_rubicola","Tachybaptus_ruficollis","Acrocephalus_schoenobaenus","Ciconia_nigra","Motacilla_flava","Aythya_fuligula","Corvus_monedula","Miliaria_calandra","Ciconia_ciconia","Fulica_atra","Anser_anser","Anthus_pratensis","Certhia_brachydactyla","Emberiza_schoeniclus","Locustella_fluviatilis","Dendrocoptes_medius","Dryobates_minor","Lullula_arborea","Milvus_milvus","Acrocephalus_scirpaceus","Coturnix_coturnix","Locustella_naevia","Poecile_montanus","Cygnus_olor","Saxicola_rubetra","Pyrrhula_pyrrhula","Chroicocephalus_ridibundus","Ficedula_hypoleuca","Picus_canus","Vanellus_vanellus","Accipiter_nisus","Luscinia_megarhynchos","Ficedula_albicollis","Lophophanes_cristatus","Loxia_curvirostra","Motacilla_cinerea","Spinus_spinus","Acrocephalus_palustris","Circus_aeruginosus","Aegithalos_caudatus","Jynx_torquilla","Hippolais_icterina","Columba_oenas","Poecile_palustris","Columba_livia","Turdus_pilaris","Anthus_trivialis","Streptopelia_turtur","Certhia_familiaris","Regulus_regulus","Muscicapa_striata","Phylloscopus_sibilatrix","Regulus_ignicapilla","Oriolus_oriolus","Linaria_cannabina","Corvus_corone","Sylvia_borin","Pica_pica","Apus_apus","Ardea_cinerea","Periparus_ater","Phasianus_colchicus","Prunella_modularis","Serinus_serinus","Passer_domesticus","Corvus_corax","Delichon_urbicum","Dryocopus_martius","Lanius_collurio","Turdus_viscivorus","Anas_platyrhynchos","Falco_tinnunculus","Passer_montanus","Phoenicurus_phoenicurus","Coccothraustes_coccothraustes","Sylvia_curruca","Chloris_chloris","Streptopelia_decaocto","Troglodytes_troglodytes","Cuculus_canorus","Sylvia_communis","Phoenicurus_ochruros","Phylloscopus_trochilus","Alauda_arvensis","Picus_viridis","Motacilla_alba","Carduelis_carduelis","Hirundo_rustica","Sitta_europaea","Buteo_buteo","Erithacus_rubecula","Emberiza_citrinella","Parus_caeruleus","Sturnus_vulgaris","x","y"
"5056ca",0.318328201770782,-0.0929477140307426,-0.498035907745361,0.40509095788002,0.194359317421913,0.599647104740143,0.296974301338196,0.259559065103531,0.324654579162598,0.309161692857742,0.0388238988816738,0.235321506857872,0.207995295524597,0.207520633935928,0.583693325519562,-0.0812869146466255,-0.498114585876465,0.131995782256126,0.830229580402374,0.385689437389374,0.294669181108475,0.65863174200058,0.200157821178436,0.255314439535141,0.477560639381409,0.0246587004512548,0.0337070003151894,0.354454785585403,0.168950095772743,0.16924837231636,-0.503742814064026,0.556633770465851,0.0962527096271515,0.833981692790985,0.332185536623001,0.278811305761337,0.502313673496246,0.174382299184799,0.240665420889854,0.368611693382263,0.0219548996537924,0.052242498844862,0.361283808946609,0.0693551003932953,0.00336656370200217,-0.0294993296265602,-0.0998717918992043,0.0118341483175755,0.0180326867848635,0.00864477548748255,80,6926,-48,165,75,32,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,15.0208333558205,50.9375007951786
"5154cd",0.27532759308815,-0.12803116440773,-0.448251813650131,0.217235624790192,0.117898516356945,0.669853210449219,0.781730711460114,0.418645024299622,0.288160115480423,0.745824038982391,0.0142818996682763,0.170897006988525,0.0947512984275818,0.300990045070648,0.392478108406067,-0.0941115990281105,-0.473600506782532,0.0698728337883949,0.798765420913696,0.442252516746521,0.321099638938904,0.460351824760437,0.36577120423317,0.464911818504333,0.527369618415833,0.0140465004369617,0.0241663008928299,0.223635703325272,0.100620798766613,0.275919914245605,-0.48925769329071,0.380768001079559,0.0589899271726608,0.810562074184418,0.397178947925568,0.299339681863785,0.407048881053925,0.3374263048172,0.437551379203796,0.502151489257812,0.0130732003599405,0.0344220995903015,0.229425504803658,0.0454334989190102,0.00642539467662573,-0.0632206574082375,-0.192865058779716,0.0254503451287746,0.0439986735582352,0.0199019480496645,76,6774,-53,154,78,31,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,14.7291666905271,50.8125007970235
"5156bb",0.322016686201096,-0.103781156241894,-0.525305390357971,0.384775936603546,0.185326412320137,0.60337108373642,0.34377110004425,0.252299934625626,0.305394291877747,0.273749351501465,0.0297829005867243,0.243199706077576,0.209067597985268,0.227082848548889,0.599844515323639,-0.0999704524874687,-0.521471083164215,0.129731073975563,0.853586614131927,0.538077533245087,0.287486851215363,0.638789176940918,0.225199058651924,0.239215925335884,0.421218454837799,0.0180473998188972,0.0302728991955519,0.365155607461929,0.16216729581356,0.202123299241066,-0.529330611228943,0.579995572566986,0.127242624759674,0.849639773368835,0.521204888820648,0.318088918924332,0.668946504592896,0.190755933523178,0.239309877157211,0.429035991430283,0.0199954006820917,0.0517675988376141,0.366148501634598,0.0722633972764015,0.00247039506211877,-0.014636717736721,-0.0416094362735748,0.00571232195943594,0.010766121558845,0.0166342239826918,79,6957,-55,160,78,32,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,15.1458333574934,50.887500794771
"5250ba",0.262675285339355,-0.0731005147099495,-0.538052320480347,0.217172607779503,0.150771841406822,0.540899395942688,0.297341078519821,0.261989146471024,0.243443578481674,0.312183827161789,0.0289441999047995,0.18459390103817,0.172806993126869,0.218211531639099,0.505797326564789,-0.0707478150725365,-0.522435903549194,0.0705254524946213,0.818347096443176,0.262226909399033,0.208247438073158,0.373307466506958,0.244275778532028,0.256195485591888,0.307213932275772,0.0196451991796494,0.0275919996201992,0.297931700944901,0.144060701131821,0.189539447426796,-0.541925489902496,0.474665701389313,0.0664687603712082,0.830089211463928,0.354925394058228,0.245159670710564,0.399593025445938,0.214497938752174,0.258039832115173,0.325378268957138,0.0147754997014999,0.0388094000518322,0.291978091001511,0.0610345005989075,0.00946404878050089,-0.0577219948172569,-0.144951939582825,0.0333256982266903,0.0706838592886925,0.038956131786108,70,6740,-60,143,85,37,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,14.1041666829304,50.7875007946974
"5255cd",0.306668907403946,-0.109773337841034,-0.493158906698227,0.270168960094452,0.215726286172867,0.595690488815308,0.518722236156464,0.442971974611282,0.277817785739899,0.477717638015747,0.0300364997237921,0.221688106656075,0.194438695907593,0.290517717599869,0.493988811969757,-0.106619656085968,-0.501012682914734,0.18577279150486,0.818277478218079,0.885477244853973,0.678175389766693,1.45885145664215,0.274149805307388,0.450759083032608,0.897404968738556,0.019768999889493,0.0303364004939795,0.325218886137009,0.155370801687241,0.21004793047905,-0.509875118732452,0.478398114442825,0.135188072919846,0.818279981613159,0.681621253490448,0.572892129421234,1.10845100879669,0.219524785876274,0.409120500087738,0.74482923746109,0.0192760992795229,0.0464131012558937,0.331005901098251,0.069342203438282,0.0032751290127635,-0.0228551626205444,-0.0737587884068489,0.0109394956380129,0.0187344830483198,0.010205490514636,79,6864,-52,160,76,29,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,14.8958333587144,50.712500802439
"5256cb",0.240100994706154,-0.242447629570961,-0.454992711544037,0.440039694309235,0.316152662038803,0.455193698406219,0.559191524982452,0.36921215057373,0.276597827672958,0.222865208983421,0.040056400001049,0.208016097545624,0.192423194646835,0.416885018348694,0.435559213161469,-0.256476074457169,-0.457059800624847,0.308882564306259,0.691448926925659,0.956589758396149,0.501125574111938,0.776517331600189,0.286325842142105,0.208322033286095,0.347124814987183,0.0283158998936415,0.0536856018006802,0.294943690299988,0.173784300684929,0.382058143615723,-0.465047389268875,0.424049496650696,0.301745504140854,0.709085285663605,0.946160137653351,0.555980265140533,0.823692262172699,0.246701270341873,0.21113221347332,0.384326130151749,0.0302953999489546,0.0634438022971153,0.306534707546234,0.0986393988132477,0.00201486609876156,-0.0115364650264382,-0.0377923063933849,0.00469656428322196,0,0,79,6910,-55,159,78,30,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,15.0625000218999,50.7375008011108
"5257dc",0.279234707355499,-0.169103518128395,-0.459917098283768,0.294773906469345,0.150084480643272,0.661895215511322,0.816334903240204,0.544000267982483,0.395429223775864,0.849073827266693,0.0178036000579596,0.18257300555706,0.112246997654438,0.301898777484894,0.404078513383865,-0.114023521542549,-0.44046351313591,0.0784870237112045,0.759748518466949,0.573347926139832,0.349969565868378,0.472273796796799,0.369267731904984,0.440899461507797,0.481308490037918,0.0152730997651815,0.0324800983071327,0.243249803781509,0.118605501949787,0.256465435028076,-0.493183612823486,0.443445891141891,0.0637591108679771,0.822288811206818,0.546422302722931,0.371507883071899,0.572155058383942,0.320606291294098,0.450513184070587,0.542508244514465,0.0143820997327566,0.039299301803112,0.276353895664215,0.054194200783968,0.00950823165476322,-0.0263082273304462,-0.0644363537430763,0.0195366274565458,0.0417080856859684,0.0224710255861282,73,6776,-71,140,89,37,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15.2708333602281,50.7125008022257
"5260ca",0.212776705622673,-0.720442235469818,-0.464926511049271,0.33819317817688,0.475626051425934,0.33779901266098,1.90326929092407,0.904795050621033,0.28928354382515,0.440523624420166,0.0449401997029781,0.279305905103683,0.250936806201935,0.216964766383171,0.330045312643051,-0.117739610373974,-0.495884090662003,0.223563447594643,0.568076312541962,0.490323662757874,0.361954480409622,0.497142493724823,0.210002288222313,0.330564349889755,0.384549468755722,0.0258981995284557,0.0771474987268448,0.286110699176788,0.225570306181908,0.193306341767311,-0.533227682113647,0.384732693433762,0.135520190000534,0.689264118671417,0.406999200582504,0.271303832530975,0.389278501272202,0.204766780138016,0.271602094173431,0.322780132293701,0.0200337003916502,0.0595608986914158,0.293854802846909,0.11082249879837,0.0106468889862299,-0.0108096404001117,-0.0195195190608501,0.0240162927657366,0.0260480623692274,0.0268109310418367,55,6013,-92,92,125,66,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,15.68750002676,50.737500805378
"5348da",0.419899106025696,-0.388725936412811,-0.44144469499588,0.373564034700394,0.262290626764297,0.661984384059906,0.372569590806961,0.254705786705017,0.272655218839645,0.351207107305527,0.0346703007817268,0.278293609619141,0.170888096094131,0.33953058719635,0.523033320903778,-0.450443267822266,-0.472930610179901,0.251941561698914,0.746373474597931,0.481786638498306,0.310039192438126,0.585985779762268,0.27180740237236,0.275912791490555,0.447970986366272,0.0321879014372826,0.0497779995203018,0.337729185819626,0.177723899483681,0.385945290327072,-0.48807829618454,0.427972286939621,0.338582992553711,0.675860285758972,0.488652408123016,0.366480261087418,0.576299011707306,0.268902808427811,0.320846438407898,0.447373330593109,0.0341790989041328,0.0654319003224373,0.326107412576675,0.103619500994682,0.00181164068635553,-0.0103199807927012,-0.0462012849748135,0.00635755201801658,0.0156793296337128,0.0124289747327566,75,6942,-48,163,77,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,13.7708333460161,50.63750080172
"5348db",0.326128900051117,-0.26605686545372,-0.394722402095795,0.437377095222473,0.349732249975204,0.55848240852356,0.712479114532471,0.451139777898788,0.238053411245346,0.329931050539017,0.0361219011247158,0.236270502209663,0.16217340528965,0.505337059497833,0.400081098079681,-0.290060877799988,-0.433407992124557,0.400501877069473,0.620979070663452,0.788992941379547,0.544727563858032,0.765455484390259,0.294012129306793,0.250848114490509,0.435679972171783,0.0361712984740734,0.0634613037109375,0.28707081079483,0.167047694325447,0.509720504283905,-0.449418902397156,0.373065590858459,0.409485310316086,0.636347591876984,0.961381018161774,0.656863987445831,0.854224264621735,0.295414566993713,0.289149791002274,0.49229708313942,0.0361506007611752,0.068342000246048,0.294926911592484,0.107524298131466,0.00183367996942252,-0.0300942808389664,-0.106944017112255,0.0101942494511604,0.0152223762124777,0.0190416257828474,75,6953,-48,163,77,29,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,13.8125000142206,50.6375008002168
