Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
1;Picea abies - smrk ztepilý;447422;1,56;
2;Fagus sylvatica - buk lesní;297064;1,04;
3;Urtica dioica - kopřiva dvoudomá;287480;1;
4;Betula pendula - bříza bělokorá;217201;,76;
5;Acer pseudoplatanus - javor klen;197600;,69;
6;Vaccinium myrtillus - brusnice borůvka;196318;,68;
7;Pinus sylvestris - borovice lesní;191951;,67;
8;Fraxinus excelsior - jasan ztepilý;181553;,63;
9;Alnus glutinosa - olše lepkavá;172400;,6;
10;Avenella flexuosa - metlička křivolaká;162921;,57;
11;Carpinus betulus - habr obecný;158912;,55;
12;Dactylis glomerata - srha laločnatá;156040;,54;
13;Deschampsia cespitosa - metlice trsnatá;152792;,53;
14;Poa nemoralis - lipnice hajní;151058;,53;
15;Quercus robur - dub letní;150217;,52;
16;Arrhenatherum elatius - ovsík vyvýšený;146043;,51;
17;Anas platyrhynchos - kachna divoká;145691;,51;
18;Sambucus nigra - bez černý;135040;,47;
19;Oxalis acetosella - šťavel kyselý;132600;,46;
20;Sorbus aucuparia - jeřáb ptačí;125561;,44;
21;Prunus spinosa - trnka obecná;124974;,44;
22;Tilia cordata - lípa malolistá;122012;,43;
23;Corylus avellana - líska obecná;118222;,41;
24;Impatiens parviflora - netýkavka malokvětá;117058;,41;
25;Agrostis capillaris - psineček obecný;115861;,4;
26;Quercus petraea - dub zimní;114374;,4;
27;Aegopodium podagraria - bršlice kozí noha;113886;,4;
28;Senecio ovatus - starček Fuchsův;113137;,39;
29;Scirpus sylvaticus - skřípina lesní;109794;,38;
30;Turdus merula - kos černý;108542;,38;
31;Athyrium filix-femina - papratka samičí;107683;,38;
32;Parus major - sýkora koňadra;107216;,37;
33;Plantago lanceolata - jitrocel kopinatý;105241;,37;
34;Alopecurus pratensis - psárka luční;103652;,36;
35;Abies alba - jedle bělokorá;103121;,36;
36;Galium odoratum - svízel vonný;98455;,34;
37;Filipendula ulmaria - tužebník jilmový;98026;,34;
38;Rubus idaeus - ostružiník maliník;96728;,34;
