species,cat,type,comments
Branta bernicla,A,r, 
Branta ruficollis,A,"t, z", 
Branta canadensis,C,r, 
Branta leucopsis,A,r, 
Anser caerulescens,B0,a (1), 
Anser anser,A,"H, T, Z", 
Anser fabalis,A,"T, Z", 
Anser serrirostris,A,"T, Z", 
Anser brachyrhynchus,A,t (1), 
Anser albifrons,A,"T, Z", 
Anser erythropus,A,r, 
Cygnus olor,A,"H, T, Z", 
Cygnus columbianus,A,r, 
Cygnus cygnus,A,"t, z", 
Alopochen aegyptiaca,C,"h, t", 
Tadorna tadorna,A,"h, t, z", 
Tadorna ferruginea,C,"(h), t", 
Aix galericulata,C,"(h), t, z", 
Spatula querquedula,A,"h, T, (z)", 
Spatula discors,A0,a (1), 
Spatula clypeata,A,"h, T, z", 
Mareca strepera,A,"H, T, z", 
Mareca penelope,A,"h?, T, z", posuzováno hnízdìní
Mareca americana,A,a (2), 
Anas platyrhynchos,A,"H, T, Z", 
Anas acuta,A,"h?, T, z", posuzováno hnízdìní
Anas crecca,A,"h, T, Z", 
Anas carolinensis,A,a (1), 
Marmaronetta angustirostris,B,a (2), 
Netta rufina,A,"H, T, z", 
Aythya ferina,A,"H, T, Z", 
Aythya nyroca,A,"(h), t, z", posuzováno hnízdìní
Aythya collaris,A,a (3), 
Aythya fuligula,A,"H, T, Z", 
Aythya marila,A,"t, z", 
Somateria spectabilis,A0,a (1), 
Somateria mollissima,A,r, 
Melanitta fusca,A,"t, z", 
Melanitta nigra,A,r, 
Clangula hyemalis,A,r, 
Bucephala clangula,A,"h, T, Z", 
Mergellus albellus,A,"t, z", posuzováno hnízdìní
Mergus merganser,A,"h, T, Z", 
Mergus serrator,A,"t, (z)", 
Oxyura jamaicensis,C,a (10), 
Oxyura leucocephala,A0,a (5), 
Tetrastes bonasia,A,"H, Z", 
Tetrao urogallus,A,"h, z", 
Lyrurus tetrix,A,"h, z", 
Perdix perdix,A,"H, Z", 
Coturnix coturnix,A,"H, T", 
Syrmaticus reevesii,C,"h, z", 
Phasianus colchicus,C,"H, Z", 
Gavia stellata,A,"t, z", 
Gavia arctica,A,"t, z", 
Gavia immer,A,r, 
Gavia adamsii,A,a (5), 
Hydrobates pelagicus,A,a (7), 
Fulmarus glacialis,A,a (5), 
Calonectris diomedea/borealis,B,a (1), 
Tachybaptus ruficollis,A,"H, T, Z", 
Podiceps grisegena,A,"(h), t, (z)", 
Podiceps cristatus,A,"H, T, Z", 
Podiceps auritus,A,"t, z", 
Podiceps nigricollis,A,"h, t, (z)", 
Phoenicopterus roseus,B,a (2), 
Ciconia nigra,A,"H, T", 
Ciconia ciconia,A,"H, T, (z)", 
Plegadis falcinellus,A,r, 
Platalea leucorodia,A,"h, t, (z)", 
Botaurus stellaris,A,"H, T, z", 
Ixobrychus minutus,A,"H, T", 
Nycticorax nycticorax,A,"H, T", 
Ardeola ralloides,A,r, 
Bubulcus ibis,A,a (11), 
Ardea cinerea,A,"H, T, Z", 
Ardea purpurea,A,"h, t, (z)",regist. jen pozorování z Èech
Ardea alba,A,"(h), T, Z", 
Egretta garzetta,A,"(h), t", 
Morus bassanus,A,a (4), 
Microcarbo pygmeus,A,r, 
Phalacrocorax carbo,A,"H, T, Z", 
Pelecanus onocrotalus,A,r, 
Pandion haliaetus,A,"T, (z)", 
Elanus caeruleus,A,a (5), 
Neophron percnopterus,A0,a (3), 
Pernis apivorus,A,"H, T", 
Gyps fulvus,A,r, 
Aegypius monachus,B/A0,r, 
Circaetus gallicus,A,r, 
Clanga pomarina,A,"(h), t", 
Clanga clanga,A,r, 
Hieraaetus pennatus,A,r, 
Aquila nipalensis,A,a (4), 
Aquila heliaca,A,"h, t, z ",registrován z území Èech
Aquila chrysaetos,A,"(h), t, z",registrován z území Èech
Aquila fasciata,A,a (3), 
Accipiter brevipes,A,a (1), 
Accipiter nisus,A,"H, T, Z", 
Accipiter gentilis,A,"H, T, Z", 
Circus aeruginosus,A,"H, T, (z)", 
Circus cyaneus,A,"h, T, Z", 
Circus macrourus,A,r, 
Circus pygargus,A,"H, T", 
Milvus milvus,A,"H, T, z", 
Milvus migrans,A,"H, T, (z)", 
Haliaeetus albicilla,A,"H, Z", 
Buteo lagopus,A,"T, Z", 
Buteo rufinus,A,r, 
Buteo buteo,A,"H, T, Z", 
